program_id,program_name,institution,source_type,source_url,primary_field,secondary_fields,interests,goals,budget,format,location_preference,city,state_or_country,region,selectivity,duration,duration_weeks,season,grade_min,grade_max,support_type,tuition_usd,financial_aid,residential_option,description,keywords,academic_strength_target,recommended_gpa_range,coursework_background_expected,prior_experience_expected,academic_rigor_level,prerequisite_notes
SYN-0135,Meridian Scholars Collective Discovery Bootcamp in Economics,Meridian Scholars Collective,synthetic_generated,,economics,finance;political science,economics;finance;political science,career exploration;networking;academic challenge,moderate cost is okay,hybrid,South,Miami,Florida,South,competitive,1 to 2 weeks,2,summer,9,12,research mentorship,4500,need-based aid,optional,This summer program helps high school students explore economics through career exploration and networking.,economics;finance;political science;career exploration;networking,strong,3.5-3.79,Relevant introductory coursework or strong extracurricular exposure helpful,Some prior exposure helpful,moderately high,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0522,Maple Bridge Academy Foundations Scholars Program in Aerospace Engineering,Maple Bridge Academy,synthetic_generated,,aerospace engineering,physics;mechanical engineering,aerospace engineering;physics;mechanical engineering;mathematics,hands-on projects;skill development;career exploration,low cost only,mostly in-person,South,Houston,Texas,South,balanced,4 to 8 weeks,6,summer,9,12,student mentorship,1500,merit scholarships,yes,"Designed for motivated teens, this program combines aerospace engineering content with hands-on projects and skill development.",aerospace engineering;physics;mechanical engineering;hands-on projects;skill development,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0262,Pacific Crest College Prep Pioneer Scholars Program in Architecture,Pacific Crest College Prep,synthetic_generated,,architecture,civil engineering;design,architecture;civil engineering;design,academic challenge;hands-on projects;portfolio building,cost matters but flexible,in-person only,East Coast,Philadelphia,Pennsylvania,East Coast,competitive,1 to 2 weeks,1,winter,9,12,small class size,7200,no,yes,Students build confidence in architecture while developing transferable skills through academic challenge and hands-on projects.,architecture;civil engineering;design;academic challenge;hands-on projects,strong,3.5-3.79,Foundational coursework or portfolio-building experience helpful,Beginner-to-intermediate portfolio or prior work helpful,moderately high,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0760,Coastal Edge Institute Future Leaders Workshop Series in Architecture,Coastal Edge Institute,synthetic_generated,,architecture,civil engineering;design,architecture;civil engineering;design,hands-on projects;portfolio building;academic challenge,low cost only,in-person only,West Coast,San Francisco,California,West Coast,balanced,1 to 2 weeks,1,summer,9,12,project guidance,1800,limited,yes,"Designed for motivated teens, this program combines architecture content with hands-on projects and portfolio building.",architecture;civil engineering;design;hands-on projects;portfolio building,solid,3.2-3.49,Foundational coursework or portfolio-building experience helpful,No formal experience required; beginner exposure helpful,moderate,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0639,Prairie Stone Scholars Program Advanced Immersion in International Relations,Prairie Stone Scholars Program,synthetic_generated,,international relations,political science;law,international relations;political science;law,networking;career exploration;leadership development,moderate cost is okay,mostly in-person,South,Miami,Florida,South,balanced,1 to 2 weeks,2,summer,10,12,student mentorship,3800,need-based aid,yes,"A 1 to 2 weeks pre-college experience focused on international relations, blending networking with career exploration.",international relations;political science;law;networking;career exploration,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0886,Skyline Discovery Institute Applied Workshop Series in Creative Writing,Skyline Discovery Institute,synthetic_generated,,creative writing,journalism;history,creative writing;journalism;history,meeting like-minded students;portfolio building;college preparation,cost matters but flexible,mostly online,South,Atlanta,Georgia,South,less competitive,1 to 2 weeks,2,summer,9,12,independent exploration,8400,yes,optional,"A 1 to 2 weeks pre-college experience focused on creative writing, blending meeting like-minded students with portfolio building.",creative writing;journalism;history;meeting like-minded students;portfolio building,average,3.0-3.19,Foundational coursework or portfolio-building experience helpful,Beginner friendly; no prior experience required,moderate-low,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0452,Blue Mesa Scholars Academy Advanced Innovation Studio in International Relations,Blue Mesa Scholars Academy,synthetic_generated,,international relations,political science;law,international relations;political science;law,leadership development;networking;social impact,not a major concern,hybrid,East Coast,Philadelphia,Pennsylvania,East Coast,open enrollment,1 to 2 weeks,2,fall,10,12,independent exploration,11800,need-based aid,optional,"Designed for motivated teens, this program combines international relations content with leadership development and networking.",international relations;political science;law;leadership development;networking,accessible,No formal minimum / 2.5+ preferred,Introductory coursework or demonstrated interest helpful,Open to beginners; no prior experience required,accessible,No strict prerequisite; demonstrated interest improves fit
SYN-0801,Helix Summer Scholars Open Door Pre-College Institute for Environmental Science,Helix Summer Scholars,synthetic_generated,,environmental science,sustainability;biology,environmental science;sustainability;biology,career exploration;research experience;social impact,not a major concern,mostly online,South,Austin,Texas,South,balanced,4 to 8 weeks,6,summer,9,12,faculty mentorship,13500,no,optional,"Designed for motivated teens, this program combines environmental science content with career exploration and research experience.",environmental science;sustainability;biology;career exploration;research experience,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0773,Sagebrook Academy Frontier Innovation Studio in Biology,Sagebrook Academy,synthetic_generated,,biology,chemistry;research,biology;chemistry;research;biochemistry,college preparation;academic challenge;research experience,strongly prefer free,mostly in-person,South,Austin,Texas,South,competitive,1 to 2 weeks,2,summer,9,12,student mentorship,350,no,yes,"A 1 to 2 weeks pre-college experience focused on biology, blending college preparation with academic challenge.",biology;chemistry;research;college preparation;academic challenge,strong,3.5-3.79,Advanced coursework preferred (honors/AP/IB or strong equivalent),Some prior exposure or self-directed projects helpful,moderately high,No strict prerequisite; demonstrated interest improves fit
SYN-0814,Aurora Youth Research Institute Frontier Explorers Program in Animation,Aurora Youth Research Institute,synthetic_generated,,animation,design;film,animation;design;film;graphic design,hands-on projects;skill development;portfolio building,strongly prefer free,online only,remote only,Remote,Remote,Remote,open enrollment,2 to 4 weeks,4,summer,8,12,research mentorship,350,need-based aid,no,"Designed for motivated teens, this program combines animation content with hands-on projects and skill development.",animation;design;film;hands-on projects;skill development,accessible,No formal minimum / 2.5+ preferred,Foundational coursework helpful but not required,Open to beginners; no prior experience required,accessible,No strict prerequisite; demonstrated interest improves fit
SYN-0296,Cedar Grove Scholars Global Scholars Program in Sustainability,Cedar Grove Scholars,synthetic_generated,,sustainability,environmental science;social impact,sustainability;environmental science;social impact,social impact;career exploration;hands-on projects,cost matters but flexible,in-person only,South,Miami,Florida,South,less competitive,1 to 2 weeks,2,summer,9,12,application guidance,7200,limited,yes,"Designed for motivated teens, this program combines sustainability content with social impact and career exploration.",sustainability;environmental science;social impact;social impact;career exploration,average,3.0-3.19,Foundational coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
SYN-0531,Helix Summer Scholars Advanced Leadership Forum in Research,Helix Summer Scholars,synthetic_generated,,research,biology;computer science,research;biology;computer science;chemistry,mentorship;academic challenge;research experience,strongly prefer free,in-person only,South,Atlanta,Georgia,South,balanced,4 to 8 weeks,6,summer,10,12,project guidance,500,yes,yes,This summer program helps high school students explore research through mentorship and academic challenge.,research;biology;computer science;mentorship;academic challenge,solid,3.2-3.49,Foundational coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0725,Summit Forge Academy Elite Field School in Cybersecurity,Summit Forge Academy,synthetic_generated,,cybersecurity,computer science;law,cybersecurity;computer science;law;software engineering,hands-on projects;career exploration;skill development,moderate cost is okay,hybrid,West Coast,Los Angeles,California,West Coast,less competitive,1 to 2 weeks,1,summer,9,12,research mentorship,2800,yes,optional,Students build confidence in cybersecurity while developing transferable skills through hands-on projects and career exploration.,cybersecurity;computer science;law;hands-on projects;career exploration,average,3.0-3.19,Introductory coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,Math/programming familiarity helpful; projects or coding exposure useful
SYN-0125,Summit Forge Academy Open Door Workshop Series in Design,Summit Forge Academy,synthetic_generated,,design,graphic design;entrepreneurship,design;graphic design;entrepreneurship,hands-on projects;skill development;portfolio building,moderate cost is okay,hybrid,South,Atlanta,Georgia,South,balanced,1 to 2 weeks,1,summer,9,12,project guidance,3800,merit scholarships,optional,This summer program helps high school students explore design through hands-on projects and skill development.,design;graphic design;entrepreneurship;hands-on projects;skill development,solid,3.2-3.49,Foundational coursework or portfolio-building experience helpful,No formal experience required; beginner exposure helpful,moderate,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0003,Pioneer Horizon University Open Door Workshop Series in Business,Pioneer Horizon University,synthetic_generated,,business,finance;marketing,business;finance;marketing;economics,networking;resume building;career exploration,moderate cost is okay,online only,remote only,Remote,Remote,Remote,balanced,2 to 4 weeks,3,summer,9,12,faculty mentorship,4500,merit scholarships,no,"A 2 to 4 weeks pre-college experience focused on business, blending networking with resume building.",business;finance;marketing;networking;resume building,solid,3.2-3.49,Relevant introductory coursework or strong extracurricular exposure helpful,No formal experience required; beginner exposure helpful,moderate,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0292,Pacific Crest College Prep Frontier College Prep Seminar in Finance,Pacific Crest College Prep,synthetic_generated,,finance,economics;business,finance;economics;business,skill development;academic challenge;career exploration,strongly prefer free,in-person only,international,Toronto,Canada,International,open enrollment,1 to 2 weeks,1,summer,9,12,project guidance,500,yes,yes,Students build confidence in finance while developing transferable skills through skill development and academic challenge.,finance;economics;business;skill development;academic challenge,accessible,No formal minimum / 2.5+ preferred,Relevant introductory coursework or strong extracurricular exposure helpful,Open to beginners; no prior experience required,accessible,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0736,Skyline Discovery Institute Pioneer Explorers Program in Environmental Science,Skyline Discovery Institute,synthetic_generated,,environmental science,sustainability;biology,environmental science;sustainability;biology,social impact;hands-on projects;career exploration,not a major concern,hybrid,international,Toronto,Canada,International,open enrollment,1 to 2 weeks,2,summer,9,12,career guidance,11800,limited,optional,"A 1 to 2 weeks pre-college experience focused on environmental science, blending social impact with hands-on projects.",environmental science;sustainability;biology;social impact;hands-on projects,accessible,No formal minimum / 2.5+ preferred,Introductory coursework helpful but not required,Open to beginners; no prior experience required,accessible,No strict prerequisite; demonstrated interest improves fit
SYN-0839,Brightwater Institute Advanced Research Lab in Social Impact,Brightwater Institute,synthetic_generated,,social impact,leadership;public health,social impact;leadership;public health,leadership development;social impact;networking,must be free,hybrid,East Coast,Boston,Massachusetts,East Coast,balanced,4 to 8 weeks,8,summer,9,12,small class size,0,no,optional,Students build confidence in social impact while developing transferable skills through leadership development and social impact.,social impact;leadership;public health;leadership development;social impact,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0857,Lighthouse Prep Academy Future Leaders College Prep Seminar in Animation,Lighthouse Prep Academy,synthetic_generated,,animation,design;film,animation;design;film;graphic design,hands-on projects;portfolio building;skill development,cost matters but flexible,online only,remote only,Remote,Remote,Remote,less competitive,1 to 2 weeks,2,summer,8,12,project guidance,6100,merit scholarships,no,"A 1 to 2 weeks pre-college experience focused on animation, blending hands-on projects with portfolio building.",animation;design;film;hands-on projects;portfolio building,average,3.0-3.19,Foundational coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
SYN-0879,Prairie Stone Scholars Program Honors Bootcamp in Environmental Science,Prairie Stone Scholars Program,synthetic_generated,,environmental science,sustainability;biology,environmental science;sustainability;biology,social impact;research experience;career exploration,strongly prefer free,hybrid,East Coast,Baltimore,Maryland,East Coast,balanced,1 to 2 weeks,1,summer,9,12,peer community,500,merit scholarships,optional,This summer program helps high school students explore environmental science through social impact and research experience.,environmental science;sustainability;biology;social impact;research experience,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0267,Mosaic Futures Academy Discovery Workshop Series in Robotics,Mosaic Futures Academy,synthetic_generated,,robotics,mechanical engineering;electrical engineering,robotics;mechanical engineering;electrical engineering,career exploration;skill development;hands-on projects,not a major concern,mostly online,Midwest,Madison,Wisconsin,Midwest,competitive,1 to 2 weeks,2,summer,9,12,application guidance,10500,need-based aid,optional,This summer program helps high school students explore robotics through career exploration and skill development.,robotics;mechanical engineering;electrical engineering;career exploration;skill development,strong,3.5-3.79,Advanced coursework preferred (honors/AP/IB or strong equivalent),Some prior exposure or self-directed projects helpful,moderately high,Math/programming familiarity helpful; projects or coding exposure useful
SYN-0664,Aurora Youth Research Institute Future Leaders College Prep Seminar in Physics,Aurora Youth Research Institute,synthetic_generated,,physics,mathematics;engineering,physics;mathematics;engineering;statistics,college preparation;research experience;academic challenge,must be free,either,South,Nashville,Tennessee,South,balanced,4 to 8 weeks,8,summer,9,12,faculty mentorship,0,need-based aid,optional,This summer program helps high school students explore physics through college preparation and research experience.,physics;mathematics;engineering;college preparation;research experience,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0333,Pioneer Horizon University Global Innovation Studio in Animation,Pioneer Horizon University,synthetic_generated,,animation,design;film,animation;design;film;graphic design,career exploration;skill development;hands-on projects,cost matters but flexible,hybrid,East Coast,Philadelphia,Pennsylvania,East Coast,open enrollment,4 to 8 weeks,8,fall,8,12,peer community,5200,no,optional,Students build confidence in animation while developing transferable skills through career exploration and skill development.,animation;design;film;career exploration;skill development,accessible,No formal minimum / 2.5+ preferred,Foundational coursework helpful but not required,Open to beginners; no prior experience required,accessible,No strict prerequisite; demonstrated interest improves fit
SYN-0400,Coastal Edge Institute Advanced Field School in Education,Coastal Edge Institute,synthetic_generated,,education,leadership;social impact,education;leadership;social impact,leadership development;college preparation;social impact,not a major concern,either,West Coast,Portland,Oregon,West Coast,competitive,1 to 2 weeks,2,summer,9,12,project guidance,10500,limited,optional,"Designed for motivated teens, this program combines education content with leadership development and college preparation.",education;leadership;social impact;leadership development;college preparation,strong,3.5-3.79,Introductory coursework or demonstrated interest helpful,Some prior exposure helpful,moderately high,No strict prerequisite; demonstrated interest improves fit
SYN-0330,Compass Youth University Advanced Summer Academy in Marine Biology,Compass Youth University,synthetic_generated,,marine biology,biology;environmental science,marine biology;biology;environmental science;chemistry,research experience;career exploration;hands-on projects,must be free,in-person only,South,Austin,Texas,South,balanced,1 to 2 weeks,2,summer,9,12,small class size,0,no,yes,"A 1 to 2 weeks pre-college experience focused on marine biology, blending research experience with career exploration.",marine biology;biology;environmental science;research experience;career exploration,solid,3.2-3.49,Foundational coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0248,Crescent Peak University Open Door Scholars Program in Software Engineering,Crescent Peak University,synthetic_generated,,software engineering,computer science;artificial intelligence,software engineering;computer science;artificial intelligence,portfolio building;career exploration;hands-on projects,moderate cost is okay,mostly online,East Coast,Raleigh,North Carolina,East Coast,very competitive,1 to 2 weeks,2,summer,9,12,small class size,3200,merit scholarships,optional,This summer program helps high school students explore software engineering through portfolio building and career exploration.,software engineering;computer science;artificial intelligence;portfolio building;career exploration,exceptional,3.8+,Advanced coursework preferred (honors/AP/IB or strong equivalent),"Some prior projects, research, competitions, or advanced exposure preferred",high,Math/programming familiarity helpful; projects or coding exposure useful
SYN-0617,Lighthouse Prep Academy Global Workshop Series in Graphic Design,Lighthouse Prep Academy,synthetic_generated,,graphic design,design;marketing,graphic design;design;marketing,skill development;hands-on projects;portfolio building,must be free,either,East Coast,Washington,District of Columbia,East Coast,less competitive,1 to 2 weeks,1,summer,9,12,application guidance,0,need-based aid,optional,Students build confidence in graphic design while developing transferable skills through skill development and hands-on projects.,graphic design;design;marketing;skill development;hands-on projects,average,3.0-3.19,Foundational coursework or portfolio-building experience helpful,Beginner friendly; no prior experience required,moderate-low,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0681,Helix Summer Scholars Foundations Research Lab in Animation,Helix Summer Scholars,synthetic_generated,,animation,design;film,animation;design;film;graphic design,hands-on projects;skill development;portfolio building,cost matters but flexible,online only,remote only,Remote,Remote,Remote,balanced,2 to 4 weeks,3,summer,8,12,research mentorship,7200,need-based aid,no,Students build confidence in animation while developing transferable skills through hands-on projects and skill development.,animation;design;film;hands-on projects;skill development,solid,3.2-3.49,Foundational coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0858,Orbit Learning Institute Applied Research Lab in Environmental Science,Orbit Learning Institute,synthetic_generated,,environmental science,sustainability;biology,environmental science;sustainability;biology,career exploration;hands-on projects;research experience,strongly prefer free,mostly online,East Coast,Philadelphia,Pennsylvania,East Coast,balanced,2 to 4 weeks,3,summer,9,12,application guidance,750,limited,optional,"Designed for motivated teens, this program combines environmental science content with career exploration and hands-on projects.",environmental science;sustainability;biology;career exploration;hands-on projects,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0398,Crescent Peak University Discovery Bootcamp in Statistics,Crescent Peak University,synthetic_generated,,statistics,mathematics;data science,statistics;mathematics;data science,college preparation;career exploration;academic challenge,not a major concern,online only,remote only,Remote,Remote,Remote,less competitive,4 to 8 weeks,6,spring,9,12,application guidance,11800,merit scholarships,no,This spring program helps high school students explore statistics through college preparation and career exploration.,statistics;mathematics;data science;college preparation;career exploration,average,3.0-3.19,Introductory coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
SYN-0459,Prairie Stone Scholars Program Pioneer Innovation Studio in Dentistry,Prairie Stone Scholars Program,synthetic_generated,,dentistry,medicine;biology,dentistry;medicine;biology,skill development;resume building;medical exposure,moderate cost is okay,mostly in-person,South,Miami,Florida,South,competitive,1 to 2 weeks,1,summer,10,12,project guidance,2800,need-based aid,yes,This summer program helps high school students explore dentistry through skill development and resume building.,dentistry;medicine;biology;skill development;resume building,strong,3.5-3.79,Foundational coursework helpful but not required,Some prior exposure helpful,moderately high,No strict prerequisite; demonstrated interest improves fit
SYN-0568,Vertex Learning Center Elite Leadership Forum in Architecture,Vertex Learning Center,synthetic_generated,,architecture,civil engineering;design,architecture;civil engineering;design,academic challenge;hands-on projects;portfolio building,not a major concern,in-person only,Arizona,Phoenix,Arizona,Southwest,open enrollment,4 to 8 weeks,8,fall,9,12,project guidance,11800,yes,yes,"Designed for motivated teens, this program combines architecture content with academic challenge and hands-on projects.",architecture;civil engineering;design;academic challenge;hands-on projects,accessible,No formal minimum / 2.5+ preferred,Foundational coursework or portfolio-building experience helpful,Open to beginners; no prior experience required,accessible,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0427,Riverview Innovation Lab Future Leaders Bootcamp in Statistics,Riverview Innovation Lab,synthetic_generated,,statistics,mathematics;data science,statistics;mathematics;data science,academic challenge;college preparation;career exploration,not a major concern,in-person only,West Coast,Portland,Oregon,West Coast,balanced,4 to 8 weeks,8,summer,9,12,career guidance,10500,no,yes,"Designed for motivated teens, this program combines statistics content with academic challenge and college preparation.",statistics;mathematics;data science;academic challenge;college preparation,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0132,Maple Bridge Academy Discovery Scholars Program in Entrepreneurship,Maple Bridge Academy,synthetic_generated,,entrepreneurship,business;marketing,entrepreneurship;business;marketing;finance,portfolio building;hands-on projects;networking,not a major concern,in-person only,East Coast,Washington,District of Columbia,East Coast,balanced,4 to 8 weeks,8,summer,9,12,career guidance,10500,no,yes,"A 4 to 8 weeks pre-college experience focused on entrepreneurship, blending portfolio building with hands-on projects.",entrepreneurship;business;marketing;portfolio building;hands-on projects,solid,3.2-3.49,Relevant introductory coursework or strong extracurricular exposure helpful,No formal experience required; beginner exposure helpful,moderate,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0193,Redwood Pathways Institute Foundations Research Lab in Pharmacy,Redwood Pathways Institute,synthetic_generated,,pharmacy,chemistry;biochemistry,pharmacy;chemistry;biochemistry,research experience;career exploration;college preparation,must be free,online only,remote only,Remote,Remote,Remote,less competitive,2 to 4 weeks,3,summer,10,12,independent exploration,0,limited,no,This summer program helps high school students explore pharmacy through research experience and career exploration.,pharmacy;chemistry;biochemistry;research experience;career exploration,average,3.0-3.19,Introductory coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0630,Compass Youth University Applied Summer Academy in Data Science,Compass Youth University,synthetic_generated,,data science,statistics;computer science,data science;statistics;computer science;mathematics,career exploration;skill development;portfolio building,not a major concern,mostly in-person,South,Miami,Florida,South,open enrollment,1 to 2 weeks,1,summer,9,12,project guidance,10500,yes,yes,"Designed for motivated teens, this program combines data science content with career exploration and skill development.",data science;statistics;computer science;career exploration;skill development,accessible,No formal minimum / 2.5+ preferred,Introductory coursework helpful but not required,Open to beginners; no prior experience required,accessible,Math/programming familiarity helpful; projects or coding exposure useful
SYN-0677,Lighthouse Prep Academy Future Leaders Innovation Studio in Film,Lighthouse Prep Academy,synthetic_generated,,film,arts;creative writing,film;arts;creative writing;design,portfolio building;meeting like-minded students;career exploration,low cost only,mostly online,anywhere in the U.S.,Boulder,Colorado,Mountain,balanced,1 to 2 weeks,1,summer,9,12,peer community,1200,no,optional,Students build confidence in film while developing transferable skills through portfolio building and meeting like-minded students.,film;arts;creative writing;portfolio building;meeting like-minded students,solid,3.2-3.49,Foundational coursework or portfolio-building experience helpful,No formal experience required; beginner exposure helpful,moderate,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0514,Aurora Youth Research Institute Pioneer Leadership Forum in Journalism,Aurora Youth Research Institute,synthetic_generated,,journalism,creative writing;political science,journalism;creative writing;political science,leadership development;career exploration;portfolio building,cost matters but flexible,in-person only,anywhere in the U.S.,Boulder,Colorado,Mountain,balanced,4 to 8 weeks,8,summer,9,12,career guidance,5200,merit scholarships,yes,"A 4 to 8 weeks pre-college experience focused on journalism, blending leadership development with career exploration.",journalism;creative writing;political science;leadership development;career exploration,solid,3.2-3.49,Foundational coursework or portfolio-building experience helpful,No formal experience required; beginner exposure helpful,moderate,"Portfolio, writing samples, or prior creative work may strengthen fit"
SYN-0094,Aurora Youth Research Institute Pioneer Innovation Studio in Leadership,Aurora Youth Research Institute,synthetic_generated,,leadership,social impact;business,leadership;social impact;business,college preparation;networking;leadership development,moderate cost is okay,either,South,Atlanta,Georgia,South,balanced,4 to 8 weeks,8,summer,9,12,peer community,3200,yes,optional,Students build confidence in leadership while developing transferable skills through college preparation and networking.,leadership;social impact;business;college preparation;networking,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0549,Prairie Stone Scholars Program Global Explorers Program in Medicine,Prairie Stone Scholars Program,synthetic_generated,,medicine,biology;public health,medicine;biology;public health;chemistry,medical exposure;college preparation;career exploration,not a major concern,in-person only,South,Atlanta,Georgia,South,balanced,1 to 2 weeks,1,summer,9,12,application guidance,13500,yes,yes,This summer program helps high school students explore medicine through medical exposure and college preparation.,medicine;biology;public health;medical exposure;college preparation,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,Biology/chemistry exposure helpful; healthcare interest expected
SYN-0329,Brightwater Institute Frontier Pre-College Institute for Electrical Engineering,Brightwater Institute,synthetic_generated,,electrical engineering,physics;robotics,electrical engineering;physics;robotics;mathematics,academic challenge;skill development;career exploration,moderate cost is okay,mostly in-person,Midwest,Madison,Wisconsin,Midwest,competitive,1 to 2 weeks,2,summer,9,12,research mentorship,3200,no,yes,"A 1 to 2 weeks pre-college experience focused on electrical engineering, blending academic challenge with skill development.",electrical engineering;physics;robotics;academic challenge;skill development,strong,3.5-3.79,Advanced coursework preferred (honors/AP/IB or strong equivalent),Some prior exposure or self-directed projects helpful,moderately high,No strict prerequisite; demonstrated interest improves fit
SYN-0906,Catalyst Pre-College Center Future Leaders Summer Academy in Political Science,Catalyst Pre-College Center,synthetic_generated,,political science,international relations;law,political science;international relations;law,career exploration;leadership development;academic challenge,strongly prefer free,in-person only,Arizona,Phoenix,Arizona,Southwest,balanced,2 to 4 weeks,3,summer,10,12,independent exploration,750,no,yes,"A 2 to 4 weeks pre-college experience focused on political science, blending career exploration with leadership development.",political science;international relations;law;career exploration;leadership development,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0625,Urban Horizon Institute Foundations Pre-College Institute for Game Development,Urban Horizon Institute,synthetic_generated,,game development,computer science;design,game development;computer science;design;software engineering,portfolio building;hands-on projects;meeting like-minded students,low cost only,mostly online,Arizona,Phoenix,Arizona,Southwest,open enrollment,1 to 2 weeks,2,summer,8,12,career guidance,1800,merit scholarships,optional,"A 1 to 2 weeks pre-college experience focused on game development, blending portfolio building with hands-on projects.",game development;computer science;design;portfolio building;hands-on projects,accessible,No formal minimum / 2.5+ preferred,Foundational coursework helpful but not required,Open to beginners; no prior experience required,accessible,No strict prerequisite; demonstrated interest improves fit
SYN-0298,Vertex Learning Center Foundations Summer Academy in Finance,Vertex Learning Center,synthetic_generated,,finance,economics;business,finance;economics;business,networking;career exploration;academic challenge,moderate cost is okay,online only,remote only,Remote,Remote,Remote,open enrollment,2 to 4 weeks,3,summer,9,12,faculty mentorship,4500,yes,no,"Designed for motivated teens, this program combines finance content with networking and career exploration.",finance;economics;business;networking;career exploration,accessible,No formal minimum / 2.5+ preferred,Relevant introductory coursework or strong extracurricular exposure helpful,Open to beginners; no prior experience required,accessible,"Quantitative comfort, initiative, or leadership/project experience helpful"
SYN-0753,Pioneer Horizon University Pioneer Innovation Studio in Philosophy,Pioneer Horizon University,synthetic_generated,,philosophy,history;law,philosophy;history;law;political science,major exploration;meeting like-minded students;academic challenge,not a major concern,in-person only,Midwest,Chicago,Illinois,Midwest,balanced,2 to 4 weeks,4,summer,9,12,research mentorship,10500,need-based aid,yes,"Designed for motivated teens, this program combines philosophy content with major exploration and meeting like-minded students.",philosophy;history;law;major exploration;meeting like-minded students,solid,3.2-3.49,Introductory coursework or demonstrated interest helpful,No formal experience required; beginner exposure helpful,moderate,No strict prerequisite; demonstrated interest improves fit
SYN-0338,Crescent Peak University Global College Prep Seminar in Data Science,Crescent Peak University,synthetic_generated,,data science,statistics;computer science,data science;statistics;computer science;mathematics,skill development;hands-on projects;career exploration,low cost only,mostly online,anywhere in the U.S.,Denver,Colorado,Mountain,balanced,1 to 2 weeks,2,summer,9,12,peer community,1200,need-based aid,optional,This summer program helps high school students explore data science through skill development and hands-on projects.,data science;statistics;computer science;skill development;hands-on projects,solid,3.2-3.49,Introductory coursework helpful but not required,No formal experience required; beginner exposure helpful,moderate,Math/programming familiarity helpful; projects or coding exposure useful
SYN-0029,Brightwater Institute Honors Research Lab in Environmental Science,Brightwater Institute,synthetic_generated,,environmental science,sustainability;biology,environmental science;sustainability;biology,social impact;hands-on projects;career exploration,strongly prefer free,hybrid,Arizona,Phoenix,Arizona,Southwest,less competitive,2 to 4 weeks,3,winter,9,12,small class size,750,limited,optional,Students build confidence in environmental science while developing transferable skills through social impact and hands-on projects.,environmental science;sustainability;biology;social impact;hands-on projects,average,3.0-3.19,Introductory coursework helpful but not required,Beginner friendly; no prior experience required,moderate-low,No strict prerequisite; demonstrated interest improves fit
